,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
10,kieta,83,PG,1579657746,76,-6.22,155.63,83.82,8.59
14,touros,40,BR,1579657747,78,-5.2,-35.46,80.6,3.36
15,ushuaia,40,AR,1579657747,75,-54.8,-68.3,46.4,27.51
18,saint-philippe,100,RE,1579657747,94,-21.36,55.77,77.0,3.36
20,souillac,75,MU,1579657747,94,-20.52,57.52,77.0,8.05
21,hermanus,92,ZA,1579657747,85,-34.42,19.23,66.99,3.0
23,rikitea,11,PF,1579657748,78,-23.12,-134.97,78.84,12.41
26,vaini,20,TO,1579657748,74,-21.2,-175.2,82.4,12.75
29,mahebourg,75,MU,1579657748,94,-20.41,57.7,77.0,1.54
31,airai,84,TL,1579657748,53,-8.93,125.41,82.94,4.18
32,faanui,95,PF,1579657749,77,-16.48,-151.75,82.38,8.72
37,saint-pierre,100,RE,1579657749,94,-21.34,55.48,77.0,3.36
38,sola,1,VU,1579657749,74,-13.88,167.55,81.21,14.09
40,kandrian,11,PG,1579657749,78,-6.22,149.55,84.96,7.05
42,esperance,90,AU,1579657516,72,-33.87,121.9,60.8,20.8
44,codrington,100,AU,1579657750,78,-38.27,141.97,64.27,22.17
47,mataura,70,NZ,1579657750,49,-46.19,168.86,77.95,3.76
48,port lincoln,98,CD,1579657750,65,-7.03,29.76,78.44,10.83
50,atuona,68,PF,1579657750,74,-9.8,-139.03,81.12,13.56
51,cape town,0,CL,1579657750,50,-36.41,-71.9,77.0,5.82
53,hobart,100,AU,1579657750,30,-42.88,147.33,75.0,19.46
54,cabo san lucas,75,BR,1579657750,74,-8.28,-35.03,84.2,8.05
60,belmonte,8,BR,1579657751,78,-15.86,-38.88,78.8,8.05
65,carauari,100,BR,1579657751,89,-4.88,-66.9,75.69,2.17
66,busselton,94,AU,1579657549,36,-33.65,115.33,72.0,14.76
69,itamaraca,75,BR,1579657752,74,-7.75,-34.83,84.2,8.05
70,port alfred,98,CD,1579657750,65,-7.03,29.76,78.44,10.83
72,necochea,100,AR,1579657515,96,-38.55,-58.74,66.0,5.01
74,merauke,84,ID,1579657662,58,-8.47,140.33,90.16,10.29
75,bluff,71,NZ,1579657752,49,-46.6,168.33,74.62,6.93
86,olinda,75,BR,1579657753,74,-8.01,-34.86,84.2,8.05
92,beitbridge,5,ZW,1579657754,77,-22.22,30.0,65.62,11.01
95,arraial do cabo,35,BR,1579657754,73,-22.84,-46.65,69.8,20.8
101,kiama,0,AU,1579657755,45,-34.68,150.87,87.8,13.87
102,kavieng,5,PG,1579657479,77,-2.57,150.8,83.62,16.24
106,antalaha,100,MG,1579657539,82,-14.9,50.28,81.84,5.44
108,avarua,100,CK,1579657756,88,-21.21,-159.78,78.8,9.17
111,chuy,100,UY,1579657756,80,-33.7,-53.46,72.52,10.07
116,mocuba,100,MZ,1579657756,95,-16.84,36.99,69.01,7.23
117,pisco,100,PE,1579657756,88,-13.7,-76.22,71.6,2.24
123,piacabucu,67,BR,1579657757,85,-10.41,-36.43,78.6,13.27
131,alofi,40,NU,1579657650,69,-19.06,-169.92,82.4,9.17
137,ondjiva,93,AO,1579657759,47,-17.07,15.73,71.69,6.67
140,lorengau,42,PG,1579657759,75,-2.02,147.27,83.79,15.32
142,padang,21,ID,1579657700,94,-0.95,100.35,73.38,4.34
143,castro,100,BR,1579657759,88,-24.79,-50.01,63.07,7.4
147,bengkulu,0,ID,1579657760,57,-3.8,102.27,89.33,0.38
150,tautira,40,PF,1579657760,70,-17.73,-149.15,87.8,10.29
151,mayumba,100,GA,1579657760,79,-3.43,10.66,82.26,7.05
163,cidreira,100,BR,1579657761,77,-30.18,-50.21,74.88,24.52
165,beloha,47,MG,1579657761,83,-25.17,45.05,69.06,15.35
168,carnarvon,0,AU,1579657569,57,-24.87,113.63,75.2,26.4
174,saldanha,30,ZA,1579657622,93,-33.01,17.94,64.06,5.5
175,lebu,0,CL,1579657762,87,-37.62,-73.65,57.76,4.88
177,port elizabeth,99,CD,1579657762,62,-7.03,29.76,78.6,5.19
179,kimbe,10,PG,1579657762,77,-5.55,150.14,83.79,7.4
181,viedma,0,AR,1579657763,58,-40.81,-63.0,67.71,12.28
184,gamba,80,GA,1579657763,90,-2.65,10.0,77.47,4.09
185,finschhafen,100,PG,1579657763,80,-6.6,147.87,83.44,17.0
187,gamboma,100,CG,1579657763,87,-1.88,15.86,74.68,3.42
188,bredasdorp,100,ZA,1579657602,85,-34.53,20.04,66.99,3.0
191,dunedin,100,NZ,1579657764,73,-45.87,170.5,69.01,18.52
199,auki,21,SB,1579657765,74,-8.77,160.7,84.69,10.85
202,kruisfontein,100,ZA,1579657765,97,-34.0,24.73,63.77,14.83
205,bowen,75,AU,1579657765,43,-20.02,148.23,93.0,8.05
210,port hardy,98,CD,1579657750,65,-7.03,29.76,78.44,10.83
212,tambun,40,ID,1579657766,94,-6.26,107.07,88.0,3.36
213,benguela,100,AO,1579657766,88,-12.58,13.41,78.64,2.95
219,tucuman,75,AR,1579657562,78,-26.82,-65.22,80.6,2.24
231,poum,0,NC,1579657768,73,-20.23,164.02,78.48,16.51
245,jaguaruna,100,BR,1579657769,82,-28.61,-49.03,68.32,2.62
247,quelimane,75,MZ,1579657769,94,-17.88,36.89,73.4,14.99
254,hithadhoo,87,MV,1579657601,79,-0.6,73.08,83.64,13.35
259,itarema,100,BR,1579657771,94,-2.92,-39.92,75.36,1.59
266,lubango,98,AO,1579657771,81,-14.92,13.49,62.26,3.4
271,takaka,100,NZ,1579657755,77,-40.85,172.8,73.99,5.01
275,christchurch,82,NZ,1579657772,64,-43.53,172.63,77.0,6.93
276,ampanihy,3,MG,1579657772,81,-24.7,44.75,66.99,9.89
284,micheweni,100,TZ,1579657773,83,-4.97,39.83,81.52,16.31
295,karratha,0,AU,1579657774,64,-20.74,116.85,86.34,17.05
298,mage,20,BR,1579657775,83,-22.65,-43.04,77.0,4.7
299,bambous virieux,75,MU,1579657775,94,-20.26,57.41,77.0,1.54
302,porecatu,85,BR,1579657775,65,-22.76,-51.38,78.8,5.82
303,qui nhon,40,BR,1579657775,70,-10.97,-37.6,84.2,13.87
310,usevya,100,TZ,1579657776,87,-7.1,31.23,68.14,2.1
311,pietersburg,87,ZA,1579657776,88,-23.9,29.47,62.6,1.12
313,mildura,90,AU,1579657776,15,-34.2,142.15,91.0,16.11
318,cam ranh,20,AR,1579657777,50,-38.98,-67.82,78.8,5.82
319,malindi,45,KE,1579657777,93,-3.22,40.12,73.8,5.46
321,carutapera,93,BR,1579657777,78,-1.2,-46.02,81.43,17.85
323,curup,42,ID,1579657777,67,-3.47,102.53,80.62,3.02
325,yulara,0,AU,1579657778,23,-25.24,130.99,95.0,8.05
327,fare,93,PF,1579657778,75,-16.7,-151.02,82.6,8.99
337,ahipara,99,NZ,1579657779,66,-35.17,173.17,79.0,1.01
341,mineros,90,BO,1579657779,94,-17.12,-63.23,75.2,13.87
349,ancud,0,CL,1579657692,67,-41.87,-73.82,62.6,14.99
355,coquimbo,90,CL,1579657780,88,-29.95,-71.34,62.6,6.93
364,kaeo,79,NZ,1579657764,66,-35.1,173.78,79.0,1.01
370,kaitangata,100,NZ,1579657782,73,-46.28,169.85,69.01,9.48
372,moerai,99,PF,1579657782,82,-22.43,-151.33,80.11,12.93
374,kupang,75,ID,1579657782,88,-10.17,123.58,82.4,5.82
384,geraldton,20,AU,1579657783,43,-28.77,114.6,73.4,23.04
387,kununurra,75,AU,1579657516,62,-15.77,128.73,87.8,10.29
391,faratsiho,100,MG,1579657784,98,-19.4,46.95,58.42,4.25
394,pitimbu,20,BR,1579657784,83,-7.47,-34.81,80.6,5.82
399,adolfo lopez mateos,20,BR,1579657785,78,-21.23,-49.64,77.0,6.76
407,kindu,100,CD,1579657786,78,-2.95,25.95,71.89,0.92
408,manggar,3,ID,1579657649,78,-2.88,108.27,82.45,7.14
409,luderitz,0,NA,1579657786,82,-26.65,15.16,64.4,2.24
421,rocha,100,UY,1579657766,88,-34.48,-54.33,68.43,7.87
424,traiguen,0,CL,1579657788,85,-38.25,-72.68,56.3,3.11
425,comodoro rivadavia,69,BR,1579657788,85,-13.66,-59.79,74.59,2.48
428,port macquarie,99,CD,1579657762,62,-7.03,29.76,78.6,5.19
429,clocolan,0,ZA,1579657788,85,-28.91,27.57,57.51,7.18
430,concepcion,0,CL,1579657788,87,-36.83,-73.05,60.8,6.93
432,isoka,100,ZM,1579657788,99,-10.16,32.63,63.66,3.02
435,oranjemund,2,NA,1579657789,90,-28.55,16.43,62.46,1.83
442,mahajanga,75,MG,1579657789,83,-15.72,46.32,82.4,19.46
451,tual,31,ID,1579657790,79,-5.67,132.75,83.3,15.59
464,catamarca,55,AR,1579657791,79,-28.47,-65.79,59.36,0.11
465,acarau,93,BR,1579657791,89,-2.89,-40.12,76.3,2.42
473,tupiza,100,BO,1579657792,66,-21.45,-65.72,53.31,2.26
476,trinidad,100,BO,1579657661,96,-14.83,-64.9,76.89,3.65
478,port blair,99,CD,1579657762,62,-7.03,29.76,78.6,5.19
486,camara de lobos,20,AR,1579657794,78,-31.65,-64.42,73.4,9.17
493,simpang,99,ID,1579657795,86,-1.27,104.08,81.81,5.08
494,vao,18,NC,1579657795,75,-22.67,167.48,77.52,16.67
497,bunbury,79,AU,1579657795,36,-33.33,115.63,72.0,13.24
498,constitucion,0,CL,1579657629,75,-35.33,-72.42,56.21,1.9
529,antofagasta,72,CL,1579657798,77,-23.65,-70.4,69.8,4.7
533,honiara,40,SB,1579657697,70,-9.43,159.95,87.8,8.05
536,banjar,20,ID,1579657636,74,-8.19,114.97,86.0,8.05
538,greymouth,100,NZ,1579657799,79,-42.47,171.2,63.41,6.67
540,luangwa,100,ZM,1579657799,80,-15.62,30.42,70.43,1.52
546,kasongo-lunda,100,CD,1579657800,96,-6.47,16.82,68.13,1.83
548,yeppoon,66,AU,1579657800,44,-23.13,150.73,93.2,8.05
